disease,common_symptoms
(vertigo) Paroymsal  Positional Vertigo,"buồn nôn, nôn, đau đầu, chao đảo, mất thăng bằng, cảm giác quay cuồng."
AIDS,"sốt cao, teo cơ, mảng trắng ở họng, quan hệ ngoài hôn nhân."
Acne,"phát ban, mụn đầu đen, đóng vảy da, mụn mủ."
Alcoholic hepatitis,"chướng bụng, nôn, đau bụng, tiền sử uống rượu, da vàng, ứ dịch, bụng sưng."
Allergy,"hắt hơi liên tục, run rẩy, ớn lạnh, chảy nước mắt."
Arthritis,"cứng cổ, cứng khớp khi vận động, yếu cơ, đi lại đau, sưng khớp."
Bronchial Asthma,"tiền sử gia đình, đờm nhầy, sốt cao, khó thở, mệt mỏi, ho."
Cervical spondylosis,"mất thăng bằng, chóng mặt, đau cổ, yếu tay chân, đau lưng."
Chicken pox,"khó chịu trong người, đốm đỏ khắp người, ngứa, mệt mỏi, phát ban, sưng hạch bạch huyết, sốt nhẹ, đau đầu."
Chronic cholestasis,"ngứa, nôn, vàng mắt, đau bụng, chán ăn, da vàng, buồn nôn."
Common Cold,"đau cơ, đau xoang, nghẹt mũi, đau ngực, mất khứu giác, mắt đỏ, rát họng, đờm."
Dengue,"đau sau mắt, buồn nôn, đau lưng, đau đầu, chán ăn, sốt cao, khó chịu trong người, mệt mỏi."
Diabetes,"tăng cảm giác thèm ăn, tiểu nhiều, sụt cân, đường huyết thất thường, mờ mắt, mệt mỏi, lờ đờ, bồn chồn."
Dimorphic hemmorhoids(piles),"đau khi đi cầu, táo bón, ngứa hậu môn, đi ngoài ra máu, đau vùng hậu môn."
Drug Reaction,"ngứa, phát ban, đau dạ dày, spotting  urination, tiểu buốt."
Fungal infection,"ngứa, dischromic  patches, phát ban, nổi hạch trên da."
GERD,"ho, đau ngực, đau dạ dày, ợ chua, loét lưỡi, nôn."
Gastroenteritis,"tiêu chảy, mắt trũng, mất nước, nôn."
Heart attack,"đau ngực, đổ mồ hôi, khó thở, nôn."
Hepatitis B,"khó chịu trong người, vàng mắt, truyền máu, tiêm không vô trùng, ngứa, mệt mỏi, nước tiểu vàng, đau bụng."
Hepatitis C,"buồn nôn, mệt mỏi, da vàng, tiền sử gia đình, chán ăn, vàng mắt."
Hepatitis D,"chán ăn, nôn, buồn nôn, nước tiểu sẫm màu, da vàng, vàng mắt, mệt mỏi, đau bụng."
Hepatitis E,"chán ăn, xuất huyết dạ dày, vàng mắt, hôn mê, đau bụng, mệt mỏi, nôn, đau khớp."
Hypertension,"mất thăng bằng, khó tập trung, chóng mặt, đau đầu, đau ngực."
Hyperthyroidism,"kinh nguyệt bất thường, yếu cơ, dễ cáu, tiêu chảy, đổ mồ hôi, bồn chồn, sụt cân, mệt mỏi."
Hypoglycemia,"đánh trống ngực, đói nhiều, dễ cáu, nói ngọng, buồn nôn, mờ mắt, lo âu, đổ mồ hôi."
Hypothyroidism,"kinh nguyệt bất thường, tuyến giáp to, móng tay giòn, sưng tứ chi, dễ cáu, trầm cảm, tăng cân, lờ đờ."
Impetigo,"chảy dịch vàng đóng vảy, mụn nước, phát ban, vết loét đỏ quanh mũi, sốt cao."
Jaundice,"ngứa, nôn, nước tiểu sẫm màu, da vàng, sốt cao, sụt cân, mệt mỏi, đau bụng."
Malaria,"đau cơ, buồn nôn, ớn lạnh, đau đầu, sốt cao, đổ mồ hôi, nôn, tiêu chảy."
Migraine,"dễ cáu, trầm cảm, đau đầu, đói nhiều, khó tiêu, ợ chua, mờ mắt, rối loạn thị giác."
Osteoarthristis,"sưng khớp, đau cổ, đau khớp, đau khớp háng, đau đầu gối, đi lại đau."
Paralysis (brain hemorrhage),"rối loạn ý thức, đau đầu, yếu một bên cơ thể, nôn."
Peptic ulcer diseae,"ngứa bên trong, nôn, xì hơi, đau bụng, khó tiêu, chán ăn."
Pneumonia,"đờm màu rỉ sắt, đau ngực, tim đập nhanh, khó chịu trong người, ho, sốt cao, mệt mỏi, khó thở."
Psoriasis,"phát ban, móng viêm, móng có rỗ nhỏ, đau khớp, vảy trắng như bạc, bong da."
Tuberculosis,"sốt nhẹ, sưng hạch bạch huyết, đau ngực, đờm có máu, khó chịu trong người, chán ăn, đờm, vàng mắt."
Typhoid,"mệt mỏi, ớn lạnh, sốt cao, đau bụng, tiêu chảy, buồn nôn, táo bón."
Urinary tract infection,"cảm giác buồn tiểu liên tục, khó chịu bàng quang, tiểu buốt, foul smell of urine."
Varicose veins,"bầm tím, tĩnh mạch nổi ở bắp chân, chuột rút, béo phì, mệt mỏi, sưng chân, tĩnh mạch sưng."
hepatitis A,"sốt nhẹ, vàng mắt, đau cơ, chán ăn, nôn, tiêu chảy, buồn nôn, nước tiểu sẫm màu."